Employee_ID,Age,Gender,Marital_Status,Education_Level,Department,Job_Role,Total_Work_Experience,Years_at_Company,Years_in_Current_Role,Promotion_Count,Business_Travel,Work_Mode,Distance_From_Home,Monthly_Salary,Annual_Bonus,Stock_Option_Value,Overtime_Hours,Monthly_Expenses,Compensation_Band,Performance_Rating,Manager_Rating,Training_Hours,Certification_Count,Project_Count,Job_Satisfaction,Work_Life_Balance,Environment_Satisfaction,Relationship_Satisfaction,Recognition_Score,Manager_Support,Engagement_Index,Productivity_Index,Financial_Stress_Index,Attendance_Score,Career_Growth_Index,Annual_Compensation,Experience_Band,Attrition
EMP100015,39,Male,Married,Bachelor,Engineering,Lead,21,5.5,0.3,2,Never,Hybrid,17.2,20682.74,,154650.46,4.6,8707.54,High,3,,29.4,0,7,4,3,5.0,4,6,6,5.0,47.27,26.98,88.95,40.67,512717.49,Senior,0
EMP100016,28,Male,Married,High School,Engineering,Engineer,13,4.7,3.7,1,Never,Office,4.5,8108.38,16559.18,0.0,3.8,4028.31,Medium,4,4.0,29.7,0,4,3,7,7.0,5,6,5,4.75,50.19,48.86,90.11,29.24,113859.74,Mid,1
EMP100017,38,Male,Divorced,Bachelor,Engineering,Lead,17,1.3,0.4,0,Frequently,Remote,6.3,18090.82,99906.17,195838.76,5.8,11764.76,High,5,5.0,25.1,0,5,8,4,4.0,6,7,6,6.75,67.14,63.85,94.19,22.72,512834.77,Mid,0
EMP100018,27,Male,Single,Master,Support,Engineer,5,2.7,0.9,1,Rarely,Remote,67.0,5851.47,17050.83,0.0,12.0,2402.81,Low,3,3.0,37.1,1,5,4,5,5.0,6,6,6,5.5,44.06,41.58,89.7,33.5,87268.47,Entry,0
EMP100019,42,Female,Married,Bachelor,Sales,Manager,19,3.3,1.4,0,Rarely,Hybrid,2.8,20586.0,68575.99,126759.12,12.3,11675.29,High,2,1.0,26.2,0,2,5,5,5.0,5,4,5,4.75,30.2,52.13,85.17,17.51,442367.11,Mid,0
EMP100020,35,Female,Divorced,Bachelor,Engineering,Engineer,10,4.3,0.2,1,Never,Hybrid,17.4,7137.33,49028.51,0.0,4.3,3207.42,Low,3,3.0,28.7,1,3,6,6,,4,5,6,5.25,38.93,42.89,92.01,28.45,134676.47,Junior,0
EMP100021,34,Male,Married,Doctorate,Engineering,Engineer,9,6.9,5.9,1,Never,Hybrid,18.5,6240.8,14005.32,0.0,27.8,4125.81,Low,3,2.0,,0,3,5,4,3.0,5,3,6,4.75,38.23,85.32,80.08,29.59,88894.92,Junior,0
EMP100022,30,Male,Single,High School,Support,Senior Engineer,9,2.9,2.5,0,Rarely,Office,21.7,7703.69,27252.29,370188.55,5.1,5674.59,Medium,3,3.0,27.6,0,8,5,6,4.0,6,5,7,5.75,53.9,85.48,90.08,20.5,489885.12,Junior,0
EMP100023,45,Female,Married,Bachelor,Marketing,Lead,26,0.7,0.6,0,Rarely,Hybrid,13.6,20420.05,49915.74,0.0,7.0,8645.78,High,4,4.0,29.4,0,10,6,7,5.0,6,6,6,6.0,73.41,28.6,89.84,26.45,294956.34,Senior,0
EMP100024,34,Male,Married,Bachelor,Engineering,Senior Engineer,14,3.4,0.6,1,Rarely,Remote,23.9,10729.26,88734.19,150861.1,13.2,6395.19,Medium,3,3.0,25.7,1,1,5,5,5.0,6,5,4,5.0,29.79,65.43,86.69,29.41,368346.41,Mid,0
EMP100025,32,Female,Single,High School,Finance,Engineer,13,2.4,2.3,0,Never,Hybrid,17.3,7781.75,6905.28,0.0,11.2,3560.73,Medium,2,2.0,24.3,1,1,3,4,2.0,5,4,4,4.0,24.37,46.51,85.38,22.76,100286.28,Mid,0
EMP100026,32,Female,Married,Doctorate,Support,Engineer,5,1.7,1.1,0,Rarely,Remote,37.2,6300.62,20087.75,0.0,30.1,4169.7,Low,3,3.0,21.8,1,3,3,1,1.0,2,1,3,2.25,26.16,86.38,73.33,12.3,95695.19,Entry,1
EMP100027,39,Male,Married,Doctorate,Sales,Lead,14,6.2,3.7,1,Frequently,Remote,19.5,15500.59,47370.03,128404.89,9.9,10387.16,High,4,4.0,19.7,0,5,6,3,4.0,3,6,6,5.25,48.82,70.84,87.32,26.78,361782.0,Mid,1
EMP100028,38,Female,Divorced,Bachelor,Engineering,Manager,17,1.6,1.2,0,Frequently,Hybrid,9.9,22919.19,39706.05,414330.43,6.0,16752.63,High,4,4.0,,3,4,5,7,7.0,5,6,7,5.75,52.9,71.73,90.73,38.31,729066.76,Mid,0
EMP100029,38,Male,Married,Doctorate,HR,Senior Engineer,10,1.0,0.8,0,Never,Hybrid,2.8,9983.0,62397.23,574473.98,6.8,4603.43,Medium,4,4.0,41.6,2,2,5,3,5.0,3,5,6,4.75,44.31,43.23,87.44,32.9,756667.21,Junior,1
EMP100030,38,Female,Single,High School,Sales,Senior Engineer,16,2.2,0.9,1,Rarely,Hybrid,24.5,12470.84,21687.64,0.0,19.5,5550.03,Medium,2,2.0,31.4,0,4,4,4,4.0,5,5,3,4.25,29.05,44.17,83.19,34.89,171337.72,Mid,0
EMP100031,52,Male,Divorced,Doctorate,Sales,Lead,27,3.2,1.9,0,Frequently,Remote,25.8,21267.95,11286.3,0.0,8.7,12312.06,High,4,4.0,32.8,1,7,7,5,8.0,4,8,8,6.75,64.9,51.71,92.25,33.67,266501.7,Senior,0
EMP100032,32,Male,Divorced,Master,Marketing,Senior Engineer,9,3.6,2.1,0,Rarely,Hybrid,16.7,9144.32,15058.17,0.0,0.4,5488.71,Medium,3,3.0,28.0,1,8,6,6,5.0,5,5,7,5.75,47.7,61.88,92.63,20.34,124790.01,Junior,0
EMP100033,31,Male,Married,Bachelor,Marketing,Engineer,15,7.5,0.1,1,Frequently,Hybrid,32.0,6995.56,50235.52,0.0,17.1,5116.77,Low,3,3.0,29.5,0,5,3,2,1.0,4,4,3,3.5,40.19,90.52,80.59,31.54,134182.24,Mid,1
EMP100034,28,Male,Married,Bachelor,Finance,Engineer,6,1.9,0.0,0,Rarely,Hybrid,21.8,6396.24,14405.55,0.0,4.7,3628.06,Low,3,3.0,,0,3,2,3,5.0,5,4,7,4.5,36.8,61.24,87.08,21.23,91160.43,Junior,0
EMP100035,40,Male,Married,Master,Marketing,Senior Engineer,17,5.5,2.6,2,Frequently,Office,3.8,10023.23,62333.28,0.0,4.2,7496.77,Medium,2,2.0,26.5,0,5,6,5,7.0,6,6,6,6.0,33.63,84.73,90.5,36.37,182612.04,Mid,0
EMP100036,44,Male,Married,Bachelor,Engineering,Senior Engineer,23,2.2,1.2,1,Frequently,Hybrid,6.7,17279.83,,0.0,14.0,9077.15,High,5,5.0,25.5,3,9,7,5,4.0,5,8,6,6.5,74.95,49.51,89.14,38.35,244309.94,Senior,0
EMP100037,34,Female,Married,Bachelor,Finance,Engineer,13,0.5,0.4,0,Never,Office,21.5,6898.66,28990.39,270711.84,3.7,4192.18,Low,3,3.0,17.0,1,3,8,7,3.0,5,6,6,6.25,44.2,66.4,92.11,17.55,382486.15,Mid,0
EMP100038,28,Male,Married,Bachelor,Engineering,Associate,4,4.0,3.0,0,Never,Hybrid,2.2,4598.11,1945.4,0.0,8.7,2308.85,Low,4,4.0,,0,4,3,5,7.0,4,3,5,3.75,40.2,54.87,86.68,17.63,57122.72,Entry,0
EMP100039,28,Male,Married,Bachelor,Marketing,Engineer,6,0.8,0.5,0,Never,Office,14.4,6405.49,6394.45,0.0,3.1,3091.21,Low,3,3.0,26.0,0,8,2,6,4.0,5,3,6,4.0,41.66,47.93,88.34,15.69,83260.33,Junior,0
EMP100040,40,Non-Binary,Married,High School,Sales,Manager,23,3.9,1.1,0,Frequently,Remote,25.6,27492.86,67104.26,77195.59,14.5,17004.62,High,5,5.0,30.9,3,12,7,3,7.0,5,5,4,5.25,71.69,54.67,88.29,39.7,474214.17,Senior,0
EMP100041,41,Female,Divorced,Bachelor,Engineering,Manager,18,1.0,0.6,0,Rarely,Remote,39.7,25752.96,,544709.82,1.7,16858.65,High,5,5.0,34.3,0,10,8,5,6.0,7,6,7,7.0,81.78,56.04,94.72,26.3,984674.04,Mid,0
EMP100042,39,Male,Divorced,Master,Sales,Manager,17,4.5,1.2,0,Rarely,Hybrid,18.1,21888.33,124341.0,81126.45,14.6,11536.81,High,3,4.0,,0,6,4,2,4.0,3,3,2,3.0,30.83,46.02,81.59,21.28,468127.41,Mid,0
EMP100043,30,Male,Married,Bachelor,Finance,Engineer,8,1.2,1.0,0,Frequently,Office,7.6,6564.2,10173.71,0.0,6.1,2895.84,Low,4,4.0,28.8,0,4,5,7,6.0,9,6,6,6.5,53.82,42.93,92.55,21.1,88944.11,Junior,0
EMP100044,37,Female,Married,Bachelor,Sales,Lead,16,0.7,0.3,0,Rarely,Office,21.5,16298.09,19474.03,103552.28,5.5,9398.45,High,2,2.0,23.9,0,5,3,4,3.0,6,4,4,4.25,30.73,54.31,88.81,17.7,318603.39,Mid,1
EMP100045,36,Female,Single,Bachelor,Finance,Senior Engineer,16,2.7,2.4,0,Rarely,Hybrid,13.6,11455.21,32360.99,189795.78,2.7,6098.05,Medium,3,3.0,25.2,3,4,5,5,3.0,6,5,7,5.75,51.23,50.76,90.05,27.29,359619.29,Mid,0
EMP100046,37,Male,Married,Bachelor,Engineering,Senior Engineer,15,0.3,0.0,0,Frequently,Hybrid,14.3,12675.53,19953.8,0.0,9.5,6640.61,Medium,4,5.0,,1,7,6,2,2.0,5,6,4,5.25,55.06,51.37,85.41,28.01,172060.16,Mid,0
EMP100047,42,Female,Married,Bachelor,Engineering,Lead,17,2.9,2.0,0,Rarely,Hybrid,16.9,17946.89,128515.87,302737.82,13.4,12471.06,High,5,5.0,26.8,1,9,7,7,10.0,7,8,9,7.75,78.04,73.88,94.98,23.47,646616.37,Mid,0
EMP100048,37,Male,Married,High School,Support,Engineer,17,5.5,2.4,2,Rarely,Office,3.3,8485.7,55434.43,0.0,22.7,4894.67,Medium,4,4.0,24.8,0,6,7,5,5.0,6,5,5,5.75,53.12,68.64,84.59,40.19,157262.83,Mid,0
EMP100049,40,Male,Married,Bachelor,Sales,Senior Engineer,16,11.7,1.5,2,Rarely,Remote,28.3,12723.55,52584.01,183015.33,10.1,8313.47,Medium,3,3.0,18.3,2,3,2,6,4.0,4,4,3,3.25,33.97,70.88,84.0,37.51,388281.94,Mid,0
EMP100050,36,Female,Married,Bachelor,Finance,Engineer,10,3.7,2.1,1,Frequently,Hybrid,1.8,6085.76,21471.62,0.0,6.3,2995.47,Low,3,3.0,33.6,2,2,6,5,3.0,3,5,2,4.0,33.55,51.05,86.7,39.0,94500.74,Junior,1
EMP100051,37,Female,Married,Bachelor,Operations,Engineer,15,3.1,0.7,0,Frequently,Hybrid,12.0,7394.28,20179.04,0.0,13.0,3487.54,Medium,3,3.0,22.3,1,3,2,4,1.0,1,4,5,3.0,29.97,49.73,80.05,23.61,108910.4,Mid,0
EMP100052,40,Female,Single,Bachelor,Support,Lead,18,7.2,2.1,2,Rarely,Hybrid,6.7,15640.16,8657.24,619951.74,21.9,7049.44,High,5,5.0,,2,5,6,4,4.0,3,4,5,4.5,60.63,43.28,84.42,48.97,816290.9,Mid,0
EMP100053,23,Male,Single,Master,Sales,Engineer,1,1.0,0.5,0,Rarely,Remote,5.7,11107.05,4097.39,0.0,6.1,2741.42,Low,2,2.0,25.1,0,1,5,2,4.0,6,3,6,5.0,27.19,59.74,85.52,11.62,137381.99,Entry,1
EMP100054,32,Male,Single,High School,Support,Engineer,11,1.6,0.6,0,Never,Office,19.2,5411.16,7674.38,0.0,33.7,3344.77,Low,2,2.0,20.6,1,4,4,5,3.0,5,6,5,5.0,25.85,82.23,80.57,15.04,72608.3,Mid,0
EMP100055,31,Male,Married,Master,HR,Senior Engineer,7,5.4,2.1,1,Never,Office,10.1,8095.22,31493.97,297306.88,7.7,5248.38,Medium,2,2.0,30.4,1,9,5,4,4.0,4,5,4,4.5,43.36,73.12,83.31,33.56,425943.49,Junior,1
EMP100056,30,Male,Married,Bachelor,Support,Senior Engineer,10,2.2,0.9,0,Frequently,Hybrid,15.1,9548.7,5363.14,257351.43,7.4,4204.91,Medium,4,4.0,29.9,0,6,8,7,,6,6,8,7.0,61.5,40.79,92.44,18.78,377298.97,Junior,0
EMP100057,33,Male,Married,High School,Marketing,Engineer,13,2.5,0.0,0,Never,Hybrid,7.1,7389.96,18303.22,97737.92,3.4,3342.1,Medium,4,4.0,,4,4,6,6,5.0,6,7,4,5.75,48.67,42.71,91.8,23.58,204720.66,Mid,0
EMP100058,47,Male,Married,Bachelor,Engineering,Senior Engineer,26,3.4,1.2,1,Never,Hybrid,9.9,14883.12,58083.29,635273.85,3.5,9281.6,High,3,2.0,24.4,3,2,5,5,5.0,4,5,4,4.5,33.92,61.7,87.94,44.78,871954.58,Senior,0
EMP100059,28,Male,Married,Bachelor,Finance,Associate,9,1.2,0.5,0,Rarely,Office,34.0,4667.17,11364.64,0.0,8.3,3352.59,Low,3,4.0,24.2,0,2,2,3,3.0,3,2,4,2.75,26.17,86.79,80.28,14.26,67370.68,Junior,1
EMP100060,43,Female,Divorced,Bachelor,Engineering,Lead,17,0.7,0.4,0,Rarely,Hybrid,9.4,19195.36,73678.77,0.0,13.7,12708.96,High,2,2.0,26.1,3,8,2,3,3.0,1,4,3,2.5,33.09,68.04,82.49,34.94,304023.09,Mid,0
EMP100061,22,Male,Single,Master,Finance,Associate,0,0.0,0.0,0,Rarely,Hybrid,9.9,3469.08,17150.54,0.0,7.4,2418.52,Low,3,3.0,26.7,1,1,4,4,5.0,5,5,3,4.25,35.54,84.29,85.69,14.45,58779.5,Entry,1
EMP100062,32,Male,Married,Master,HR,Engineer,10,2.4,0.4,0,Never,Hybrid,23.4,6085.87,40347.03,0.0,9.6,2885.6,Low,4,3.0,25.2,3,4,6,7,7.0,7,10,6,7.25,56.81,49.76,94.01,26.71,113377.47,Junior,0
EMP100063,36,Female,Single,Bachelor,HR,Engineer,13,4.5,2.6,1,Rarely,Office,26.0,5892.82,18159.66,0.0,0.8,4213.24,Low,2,2.0,,0,3,4,2,2.0,3,5,5,4.25,24.88,81.95,86.75,29.74,88873.5,Mid,0
EMP100064,40,Male,Single,Doctorate,Engineering,Manager,16,3.2,0.1,0,Rarely,Hybrid,9.4,22030.59,66965.2,224904.69,12.7,11582.47,High,2,2.0,,0,4,5,5,5.0,4,5,3,4.25,28.68,44.85,84.18,20.26,556236.97,Mid,0
EMP100065,41,Female,Married,Bachelor,Marketing,Manager,20,5.3,1.8,1,Rarely,Office,8.2,24801.32,61795.38,0.0,2.4,14938.15,High,4,4.0,,0,13,4,7,6.0,5,6,5,5.0,62.58,49.39,90.38,39.03,359411.22,Mid,0
EMP100066,41,Male,Married,High School,Engineering,Senior Engineer,26,3.1,1.9,0,Rarely,Hybrid,24.9,14287.09,,122463.87,18.9,10121.09,High,4,,31.0,1,9,5,4,4.0,5,3,5,4.5,60.56,81.5,84.89,29.36,299117.27,Senior,0
EMP100067,32,Male,Divorced,Master,Sales,Senior Engineer,9,5.8,3.6,2,Frequently,Hybrid,1.2,13269.14,24795.2,0.0,10.6,6207.6,High,4,4.0,30.2,0,4,6,7,7.0,7,7,5,6.25,55.15,42.98,91.64,39.64,184024.88,Junior,0
EMP100068,31,Female,Single,Bachelor,Finance,Lead,13,2.6,0.5,0,Never,Office,16.3,15530.81,67040.58,0.0,4.0,11463.74,High,5,4.0,27.7,0,9,5,3,5.0,7,4,6,5.5,71.83,78.38,89.64,19.23,253410.3,Mid,1
EMP100069,42,Male,Married,Bachelor,Sales,Senior Engineer,21,0.4,0.1,0,Frequently,Hybrid,7.2,14821.16,107568.09,0.0,15.2,10451.27,High,4,,21.9,3,6,5,4,3.0,7,3,4,4.75,54.54,78.93,87.29,31.05,285422.01,Senior,0
EMP100070,33,Female,Married,High School,Engineering,Engineer,11,1.9,0.9,0,Rarely,Hybrid,1.7,7417.8,29645.02,0.0,31.5,3081.79,Medium,2,2.0,25.3,1,1,3,1,2.0,3,4,3,3.25,17.68,49.38,74.95,21.15,118658.62,Mid,0
EMP100071,25,Female,Married,Bachelor,Finance,Associate,2,2.0,0.8,1,Rarely,Hybrid,21.0,3523.99,10818.19,0.0,0.6,2323.23,Low,4,4.0,27.9,0,1,3,4,5.0,6,5,4,4.5,46.44,75.64,91.99,28.02,53106.07,Entry,1
EMP100072,26,Male,Single,Bachelor,Support,Associate,6,4.9,3.4,1,Never,Hybrid,12.5,3890.89,,0.0,12.1,2692.0,Low,4,4.0,15.8,0,1,6,4,6.0,5,4,4,4.75,45.64,85.19,88.79,16.57,52715.22,Junior,1
EMP100073,28,Female,Married,Bachelor,Support,Engineer,8,2.0,1.5,0,Rarely,Hybrid,10.8,4986.32,20241.76,0.0,25.1,3051.81,Low,3,3.0,26.6,0,4,4,5,4.0,5,5,6,5.0,40.05,77.96,83.97,19.93,80077.6,Junior,0
EMP100074,39,Female,Single,Bachelor,Sales,Manager,16,3.7,0.2,0,Frequently,Hybrid,8.1,20116.47,3953.27,158841.34,29.0,11761.82,High,3,2.0,,1,6,4,5,6.0,4,3,5,4.0,38.94,62.37,82.23,21.17,404192.25,Mid,0
EMP100075,36,Female,Single,Master,Finance,Senior Engineer,16,2.3,1.7,0,Never,Office,17.0,10746.6,45384.82,0.0,4.9,6941.91,Medium,2,2.0,23.3,0,5,2,4,4.0,4,6,4,4.0,26.41,69.22,83.81,18.31,174344.02,Mid,0
EMP100076,41,Male,Married,Master,Sales,Senior Engineer,16,1.6,1.4,0,Rarely,Remote,4.2,12041.86,33250.41,655705.66,13.0,5612.71,Medium,3,2.0,24.5,3,6,4,4,5.0,5,6,2,4.25,42.26,44.85,84.7,27.86,833458.39,Mid,1
EMP100077,32,Male,Single,High School,Engineering,Senior Engineer,14,4.9,4.5,1,Never,Hybrid,23.6,14838.72,9299.65,0.0,9.4,9774.07,High,5,5.0,32.5,1,6,9,5,9.0,5,7,7,7.0,66.12,69.49,93.26,39.1,187364.29,Mid,0
EMP100078,36,Female,Married,Bachelor,Support,Engineer,15,4.2,0.2,0,Never,Remote,8.5,6273.37,26146.33,0.0,26.6,4186.85,Low,3,3.0,22.0,3,2,3,4,4.0,5,4,4,4.0,31.52,85.73,80.21,29.41,101426.77,Mid,1
EMP100079,40,Male,Married,Bachelor,Finance,Senior Engineer,15,14.3,12.6,2,Rarely,Hybrid,15.8,10920.42,42266.75,0.0,3.6,7711.65,Medium,2,2.0,26.8,2,2,3,7,4.0,3,5,4,3.75,19.0,77.47,88.0,44.96,173311.79,Mid,0
EMP100080,33,Male,Married,High School,Engineering,Engineer,14,2.0,0.3,1,Rarely,Hybrid,8.2,9662.72,35146.42,0.0,3.7,6469.55,Medium,5,5.0,32.3,2,7,7,5,5.0,6,7,5,6.25,74.3,73.16,93.13,36.63,151099.06,Mid,0
EMP100081,39,Male,Married,Bachelor,Engineering,Manager,22,7.7,2.6,1,Never,Hybrid,46.4,26264.56,178203.05,297766.28,8.0,13068.96,High,4,4.0,33.2,2,5,6,7,7.0,7,5,7,6.25,57.33,34.96,89.64,46.37,791144.05,Senior,0
EMP100082,30,Male,Married,Bachelor,HR,Senior Engineer,6,0.8,0.3,0,Rarely,Hybrid,9.8,8690.24,15349.63,215214.89,4.6,4642.5,Medium,4,4.0,28.3,2,10,6,4,4.0,4,5,6,5.25,65.05,54.26,89.48,24.72,334847.4,Junior,0
EMP100083,32,Male,Divorced,Master,Marketing,Senior Engineer,9,7.7,2.3,2,Never,Office,9.2,8522.4,37518.0,0.0,5.1,6235.89,Medium,3,2.0,32.3,3,7,5,4,4.0,6,3,4,4.5,43.13,84.03,85.8,46.5,139786.8,Junior,0
EMP100084,32,Male,Single,Bachelor,Support,Senior Engineer,8,3.2,0.9,0,Rarely,Hybrid,2.7,7064.19,27161.0,0.0,5.3,5231.98,Low,2,2.0,22.0,2,3,4,3,3.0,4,2,2,3.0,17.55,86.7,83.84,19.78,111931.28,Junior,0
EMP100085,25,Male,Single,Bachelor,Marketing,Associate,1,1.0,0.2,0,Rarely,Hybrid,27.0,3226.57,12468.86,0.0,3.7,1911.31,Low,3,4.0,25.5,0,1,5,4,3.0,6,6,4,5.25,36.15,67.29,87.1,11.49,51187.7,Entry,0
EMP100086,39,Male,Married,Bachelor,Operations,Senior Engineer,14,4.2,2.8,0,Rarely,Remote,19.8,12350.74,60214.97,170037.97,18.6,7038.1,Medium,4,5.0,28.1,1,4,3,4,4.0,4,6,3,4.0,52.16,62.46,81.83,22.05,378461.82,Mid,0
EMP100087,31,Female,Married,Master,Support,Senior Engineer,9,4.5,2.6,1,Rarely,Office,10.1,9866.21,57915.9,352629.01,8.3,5046.47,Medium,3,3.0,29.7,2,2,5,4,7.0,6,6,9,6.5,41.56,51.47,91.84,35.95,528939.43,Junior,0
EMP100088,35,Male,Divorced,Bachelor,Engineering,Lead,11,7.0,4.3,1,Never,Remote,40.9,18219.09,88548.88,92659.5,3.7,11295.21,High,4,4.0,,0,8,5,5,6.0,6,7,4,5.5,59.46,58.31,92.93,21.78,399837.46,Mid,0
EMP100089,39,Male,Married,Master,Support,Lead,18,1.4,0.7,0,Rarely,Hybrid,8.5,15933.9,31467.8,276920.16,25.8,8863.67,High,4,4.0,23.3,0,8,3,5,,6,5,4,4.5,56.21,60.41,83.19,19.21,499594.76,Mid,1
EMP100090,39,Male,Single,Master,HR,Senior Engineer,14,0.8,0.2,0,Never,Remote,11.7,9967.74,34603.71,0.0,0.4,6924.86,Medium,3,3.0,28.2,0,5,4,4,6.0,4,3,3,3.5,37.41,75.2,89.88,21.27,154216.59,Mid,0
EMP100091,40,Male,Married,Bachelor,Finance,Manager,18,4.3,2.5,1,Never,Remote,5.7,20982.5,54987.61,177228.28,5.4,10834.01,High,3,3.0,32.4,0,10,5,7,6.0,6,6,9,6.5,56.14,41.21,92.04,38.68,484005.89,Mid,0
EMP100092,34,Female,Single,Bachelor,Engineering,Engineer,13,4.1,2.7,0,Never,Hybrid,5.9,7558.82,42095.36,0.0,2.1,5430.57,Medium,3,4.0,,1,1,7,3,4.0,5,3,4,4.75,36.26,81.59,87.89,20.91,132801.2,Mid,0
EMP100093,32,Female,Married,Bachelor,HR,Engineer,7,6.9,0.4,1,Never,Remote,8.0,4959.49,20354.03,0.0,3.5,3687.8,Low,4,3.0,,0,3,8,6,6.0,6,7,8,7.25,56.2,88.19,95.14,29.89,79867.91,Junior,0
EMP100094,34,Male,Married,Bachelor,Finance,Engineer,12,2.2,2.2,0,Rarely,Hybrid,20.3,6800.59,17373.42,0.0,5.6,5072.91,Low,2,2.0,21.7,0,2,4,4,3.0,5,4,4,4.25,24.74,87.86,86.82,17.47,98980.5,Mid,1
EMP100095,22,Male,Married,Bachelor,Sales,Associate,1,1.0,0.6,0,Rarely,Remote,69.8,3876.95,24468.86,0.0,17.2,2648.23,Low,3,3.0,25.4,0,1,7,4,6.0,5,2,4,4.5,31.59,86.09,83.52,12.36,70992.26,Entry,1
EMP100096,23,Male,Single,Bachelor,Operations,Engineer,3,3.0,1.9,1,Rarely,Office,6.7,5258.06,9765.32,0.0,7.0,3179.38,Low,3,3.0,26.7,0,2,4,5,6.0,6,4,6,5.0,40.2,68.81,86.63,21.52,72862.04,Entry,0
